No.,Time,Source,Destination,Protocol,Length,Info,TTL,Flags,DSCP,LEN
1,0,192.168.1.94,142.250.75.110,TCP,74,60366  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1158780113 TSecr=0 WS=128,64,0x2,0x00,60
2,0.011204337,142.250.75.110,192.168.1.94,TCP,74,"443  >  60366 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=2478391774 TSecr=1158780113 WS=256",121,0x2,0x00,60
3,0.013089107,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1158780124 TSecr=2478391774,64,0x2,0x00,52
4,0.01904069,192.168.1.94,142.250.75.110,TLSv1.3,583,Client Hello (SNI=www.youtube.com),64,0x2,0x00,569
5,0.028036402,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=1 Ack=518 Win=268288 Len=0 TSval=2478391792 TSecr=1158780132,121,0x0,0x00,52
6,0.087055211,142.250.75.110,192.168.1.94,TLSv1.3,2866,"Server Hello, Change Cipher Spec",121,0x0,0x00,2852
7,0.087055821,142.250.75.110,192.168.1.94,TLSv1.3,2866,Continuation Data,121,0x0,0x00,2852
8,0.087055841,142.250.75.110,192.168.1.94,TLSv1.3,1050,Continuation Data,121,0x0,0x00,1036
9,0.087155178,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=518 Ack=2801 Win=69760 Len=0 TSval=1158780200 TSecr=2478391844,64,0x2,0x00,52
10,0.08734108,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=518 Ack=6585 Win=78208 Len=0 TSval=1158780200 TSecr=2478391844,64,0x2,0x00,52
11,0.515799985,192.168.1.94,142.250.75.110,TLSv1.3,130,"Change Cipher Spec, Application Data",64,0x2,0x00,116
12,0.517408806,192.168.1.94,142.250.75.110,TLSv1.3,236,Application Data,64,0x2,0x00,222
13,0.517697425,192.168.1.94,142.250.75.110,TLSv1.3,1807,Application Data,64,0x2,0x00,1793
14,0.531030866,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=6585 Ack=582 Win=268800 Len=0 TSval=2478392290 TSecr=1158780628,121,0x0,0x00,52
15,0.53103121,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=6585 Ack=752 Win=268800 Len=0 TSval=2478392290 TSecr=1158780630,121,0x0,0x00,52
16,0.53103123,142.250.75.110,192.168.1.94,TLSv1.3,680,"Application Data, Application Data",121,0x0,0x00,666
17,0.53103125,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
18,0.531031272,142.250.75.110,192.168.1.94,TCP,78,[TCP Dup ACK 15#1] 443  >  60366 [ACK] Seq=7230 Ack=752 Win=268800 Len=0 TSval=2478392293 TSecr=1158780630 SLE=2152 SRE=2493,121,0x0,0x00,64
19,0.531031323,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=7230 Ack=2493 Win=267264 Len=0 TSval=2478392293 TSecr=1158780630,121,0x0,0x00,52
20,0.531066954,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2493 Ack=7199 Win=80896 Len=0 TSval=1158780644 TSecr=2478392290,64,0x2,0x00,52
21,0.532455075,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2493 Ack=7230 Win=80896 Len=0 TSval=1158780645 TSecr=2478392291,64,0x2,0x00,52
22,0.535459313,192.168.1.94,142.250.75.110,TLSv1.3,97,Application Data,64,0x2,0x00,83
23,0.547460588,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=7230 Ack=2524 Win=267264 Len=0 TSval=2478392313 TSecr=1158780648,121,0x0,0x00,52
24,0.674563197,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
25,0.674563514,142.250.75.110,192.168.1.94,TLSv1.3,352,Application Data,121,0x0,0x00,338
26,0.674563541,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
27,0.674563562,142.250.75.110,192.168.1.94,TLSv1.3,2431,"Application Data, Application Data",121,0x0,0x00,2417
28,0.67459654,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=8916 Win=86528 Len=0 TSval=1158780787 TSecr=2478392437,64,0x2,0x00,52
29,0.684520162,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
30,0.684520461,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
31,0.684520482,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
32,0.694876394,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=12681 Win=82816 Len=0 TSval=1158780807 TSecr=2478392437,64,0x2,0x00,52
33,0.695140215,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
34,0.695140403,142.250.75.110,192.168.1.94,TLSv1.3,2866,"Application Data, Application Data",121,0x0,0x00,2852
35,0.695140424,142.250.75.110,192.168.1.94,TLSv1.3,308,Application Data,121,0x0,0x00,294
36,0.695140443,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
37,0.695140465,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
38,0.695140485,142.250.75.110,192.168.1.94,TLSv1.3,2866,"Application Data, Application Data",121,0x0,0x00,2852
39,0.695174616,142.250.75.110,192.168.1.94,TLSv1.3,2866,"Application Data, Application Data",121,0x0,0x00,2852
40,0.695174647,142.250.75.110,192.168.1.94,TLSv1.3,2866,Continuation Data,121,0x0,0x00,2852
41,0.695174667,142.250.75.110,192.168.1.94,TLSv1.3,2866,Continuation Data,121,0x0,0x00,2852
42,0.695174687,142.250.75.110,192.168.1.94,TLSv1.3,746,Continuation Data,121,0x0,0x00,732
43,0.695174707,142.250.75.110,192.168.1.94,TLSv1.3,110,Application Data,121,0x0,0x00,96
44,0.695251445,142.250.75.110,192.168.1.94,TLSv1.3,261,Application Data,121,0x0,0x00,247
45,0.695251498,142.250.75.110,192.168.1.94,TLSv1.3,116,Application Data,121,0x0,0x00,102
46,0.700062328,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=36292 Win=59264 Len=0 TSval=1158780813 TSecr=2478392447,64,0x2,0x00,52
47,0.704890923,142.250.75.110,192.168.1.94,TLSv1.3,2866,"Application Data, Application Data",121,0x0,0x00,2852
48,0.704891288,142.250.75.110,192.168.1.94,TLSv1.3,2866,"Application Data, Application Data",121,0x0,0x00,2852
49,0.704920562,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=39092 Win=86912 Len=0 TSval=1158780818 TSecr=2478392468,64,0x2,0x00,52
50,0.705124427,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=41892 Win=84224 Len=0 TSval=1158780818 TSecr=2478392468,64,0x2,0x00,52
51,0.707598106,142.250.75.110,192.168.1.94,TLSv1.3,2866,Continuation Data,121,0x0,0x00,2852
52,0.707616909,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=44692 Win=86912 Len=0 TSval=1158780820 TSecr=2478392469,64,0x2,0x00,52
53,0.707994724,142.250.75.110,192.168.1.94,TLSv1.3,2537,Continuation Data,121,0x0,0x00,2523
54,0.708296796,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=47163 Win=84480 Len=0 TSval=1158780821 TSecr=2478392474,64,0x2,0x00,52
55,1.689166977,142.250.75.110,192.168.1.94,TLSv1.3,142,Application Data,121,0x0,0x00,128
56,1.724967421,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
57,1.725245416,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=48639 Win=89600 Len=0 TSval=1158781838 TSecr=2478393444,64,0x2,0x00,52
58,1.728837445,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
59,1.728837763,142.250.75.110,192.168.1.94,TLSv1.3,2866,"Application Data, Application Data",121,0x0,0x00,2852
60,1.728837792,142.250.75.110,192.168.1.94,TLSv1.3,2004,"Application Data, Application Data",121,0x0,0x00,1990
61,1.728837812,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
62,1.728911197,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=52839 Win=98048 Len=0 TSval=1158781842 TSecr=2478393490,64,0x2,0x00,52
63,1.729000412,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=54777 Win=101888 Len=0 TSval=1158781842 TSecr=2478393491,64,0x2,0x00,52
64,1.736658335,142.250.75.110,192.168.1.94,TLSv1.3,1381,Application Data,121,0x0,0x00,1367
65,1.736658605,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
66,1.736658625,142.250.75.110,192.168.1.94,TLSv1.3,862,Application Data,121,0x0,0x00,848
67,1.736658693,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
68,1.736658713,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
69,1.736658734,142.250.75.110,192.168.1.94,TLSv1.3,253,Application Data,121,0x0,0x00,239
70,1.736658753,142.250.75.110,192.168.1.94,TLSv1.3,857,Application Data,121,0x0,0x00,843
71,1.736682634,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=57492 Win=107520 Len=0 TSval=1158781849 TSecr=2478393492,64,0x2,0x00,52
72,1.736782411,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=59688 Win=113152 Len=0 TSval=1158781849 TSecr=2478393492,64,0x2,0x00,52
73,1.736829112,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=62488 Win=118784 Len=0 TSval=1158781849 TSecr=2478393495,64,0x2,0x00,52
74,1.739200023,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
75,1.739200121,142.250.75.110,192.168.1.94,TLSv1.3,764,Application Data,121,0x0,0x00,750
76,1.739200142,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
77,1.739214416,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=64866 Win=127104 Len=0 TSval=1158781852 TSecr=2478393495,64,0x2,0x00,52
78,1.739281598,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=66964 Win=132736 Len=0 TSval=1158781852 TSecr=2478393499,64,0x2,0x00,52
79,1.740822109,142.250.75.110,192.168.1.94,TLSv1.3,461,Application Data,121,0x0,0x00,447
80,1.740822192,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
81,1.740822273,142.250.75.110,192.168.1.94,TLSv1.3,917,Application Data,121,0x0,0x00,903
82,1.740838517,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=68759 Win=138368 Len=0 TSval=1158781853 TSecr=2478393499,64,0x2,0x00,52
83,1.743013673,142.250.75.110,192.168.1.94,TLSv1.3,1207,Application Data,121,0x0,0x00,1193
84,1.743026674,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=70751 Win=144000 Len=0 TSval=1158781856 TSecr=2478393500,64,0x2,0x00,52
85,1.746068005,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
86,1.746068246,142.250.75.110,192.168.1.94,TLSv1.3,1452,Application Data,121,0x0,0x00,1438
87,1.746068265,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
88,1.746068285,142.250.75.110,192.168.1.94,TLSv1.3,1499,"Application Data, Application Data",121,0x0,0x00,1485
89,1.746068304,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
90,1.746068325,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
91,1.746068346,142.250.75.110,192.168.1.94,TLSv1.3,1386,"Application Data, Application Data",121,0x0,0x00,1372
92,1.746093921,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=73537 Win=149504 Len=0 TSval=1158781859 TSecr=2478393505,64,0x2,0x00,52
93,1.74618147,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=76370 Win=155264 Len=0 TSval=1158781859 TSecr=2478393506,64,0x2,0x00,52
94,1.746229461,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=79170 Win=160768 Len=0 TSval=1158781859 TSecr=2478393507,64,0x2,0x00,52
95,1.746303557,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
96,1.746303619,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
97,1.746303639,142.250.75.110,192.168.1.94,TLSv1.3,134,Application Data,121,0x0,0x00,120
98,1.746303668,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
99,1.746303695,142.250.75.110,192.168.1.94,TLSv1.3,255,Application Data,121,0x0,0x00,241
100,1.746309188,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=81890 Win=166400 Len=0 TSval=1158781859 TSecr=2478393507,64,0x2,0x00,52
101,1.746356463,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=83358 Win=169216 Len=0 TSval=1158781859 TSecr=2478393508,64,0x2,0x00,52
102,1.746415748,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=84947 Win=174848 Len=0 TSval=1158781859 TSecr=2478393508,64,0x2,0x00,52
103,1.749935664,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
104,1.749936232,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
105,1.74993626,142.250.75.110,192.168.1.94,TLSv1.3,968,Application Data,121,0x0,0x00,954
106,1.749958763,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=87747 Win=180352 Len=0 TSval=1158781863 TSecr=2478393511,64,0x2,0x00,52
107,1.754345086,142.250.75.110,192.168.1.94,TLSv1.3,505,Application Data,121,0x0,0x00,491
108,1.754345756,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
109,1.754345785,142.250.75.110,192.168.1.94,TLSv1.3,972,Application Data,121,0x0,0x00,958
110,1.754345805,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
111,1.754345869,142.250.75.110,192.168.1.94,TLSv1.3,492,Application Data,121,0x0,0x00,478
112,1.754345889,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
113,1.754372083,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=90488 Win=188800 Len=0 TSval=1158781867 TSecr=2478393512,64,0x2,0x00,52
114,1.754471148,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=92794 Win=194432 Len=0 TSval=1158781867 TSecr=2478393514,64,0x2,0x00,52
115,1.754516883,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=94620 Win=200064 Len=0 TSval=1158781867 TSecr=2478393515,64,0x2,0x00,52
116,1.757116211,142.250.75.110,192.168.1.94,TLSv1.3,1273,Application Data,121,0x0,0x00,1259
117,1.757116368,142.250.75.110,192.168.1.94,TLSv1.3,1085,Application Data,121,0x0,0x00,1071
118,1.757133148,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=96846 Win=205568 Len=0 TSval=1158781870 TSecr=2478393516,64,0x2,0x00,52
119,1.759405577,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
120,1.759405841,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
121,1.75940598,142.250.75.110,192.168.1.94,TLSv1.3,143,Application Data,121,0x0,0x00,129
122,1.759569143,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=99646 Win=211200 Len=0 TSval=1158781872 TSecr=2478393519,64,0x2,0x00,52
123,1.76281801,142.250.75.110,192.168.1.94,TLSv1.3,1293,Application Data,121,0x0,0x00,1279
124,1.762818251,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
125,1.762818272,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
126,1.762818292,142.250.75.110,192.168.1.94,TLSv1.3,183,Application Data,121,0x0,0x00,169
127,1.762818313,142.250.75.110,192.168.1.94,TLSv1.3,1006,Application Data,121,0x0,0x00,992
128,1.762818334,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
129,1.762818354,142.250.75.110,192.168.1.94,TLSv1.3,1378,Application Data,121,0x0,0x00,1364
130,1.762818375,142.250.75.110,192.168.1.94,TLSv1.3,220,Application Data,121,0x0,0x00,206
131,1.763063652,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=102350 Win=216832 Len=0 TSval=1158781876 TSecr=2478393519,64,0x2,0x00,52
132,1.763205887,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=107673 Win=231040 Len=0 TSval=1158781876 TSecr=2478393522,64,0x2,0x00,52
133,1.783455182,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
134,1.783455212,142.250.75.110,192.168.1.94,TLSv1.3,254,Application Data,121,0x0,0x00,240
135,1.783455233,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
136,1.783455254,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
137,1.783455274,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
138,1.783455294,142.250.75.110,192.168.1.94,TLSv1.3,2866,"Application Data, Application Data",121,0x0,0x00,2852
139,1.785927118,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=109261 Win=236672 Len=0 TSval=1158781899 TSecr=2478393543,64,0x2,0x00,52
140,1.78629995,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=112061 Win=242176 Len=0 TSval=1158781899 TSecr=2478393548,64,0x2,0x00,52
141,1.788618797,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=116261 Win=250624 Len=0 TSval=1158781901 TSecr=2478393549,64,0x2,0x00,52
142,1.788837145,142.250.75.110,192.168.1.94,TLSv1.3,4266,"Application Data, Application Data, Application Data",121,0x0,0x00,4252
143,1.788850835,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=120461 Win=259072 Len=0 TSval=1158781901 TSecr=2478393549,64,0x2,0x00,52
144,1.790012076,142.250.75.110,192.168.1.94,TLSv1.3,5666,"Application Data, Application Data, Application Data, Application Data",121,0x0,0x00,5652
145,1.790064894,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=126061 Win=270208 Len=0 TSval=1158781903 TSecr=2478393550,64,0x2,0x00,52
146,1.792302151,142.250.75.110,192.168.1.94,TLSv1.3,5666,"Application Data, Application Data, Application Data, Application Data",121,0x0,0x00,5652
147,1.792324969,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=131661 Win=281472 Len=0 TSval=1158781905 TSecr=2478393551,64,0x2,0x00,52
148,1.794024713,142.250.75.110,192.168.1.94,TLSv1.3,5666,"Application Data, Application Data, Application Data, Application Data",121,0x0,0x00,5652
149,1.794076943,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=137261 Win=292608 Len=0 TSval=1158781907 TSecr=2478393552,64,0x2,0x00,52
150,1.798268557,142.250.75.110,192.168.1.94,TLSv1.3,5666,"Application Data, Application Data, Application Data, Application Data",121,0x0,0x00,5652
151,1.79826882,142.250.75.110,192.168.1.94,TLSv1.3,5666,Continuation Data,121,0x0,0x00,5652
152,1.798333334,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=142861 Win=303872 Len=0 TSval=1158781911 TSecr=2478393553,64,0x2,0x00,52
153,1.798411895,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=148461 Win=315008 Len=0 TSval=1158781911 TSecr=2478393554,64,0x2,0x00,52
154,1.798489896,142.250.75.110,192.168.1.94,TLSv1.3,1783,Continuation Data,121,0x0,0x00,1769
155,1.798495147,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=2524 Ack=150178 Win=318464 Len=0 TSval=1158781911 TSecr=2478393555,64,0x2,0x00,52
156,1.798699999,192.168.1.94,142.250.75.110,TLSv1.3,105,Application Data,64,0x2,0x00,91
157,1.799636525,192.168.1.94,142.250.75.110,TLSv1.3,434,Application Data,64,0x2,0x00,420
158,1.801867482,192.168.1.94,142.250.75.110,TLSv1.3,246,Application Data,64,0x2,0x00,232
159,1.803621563,192.168.1.94,142.250.75.110,TLSv1.3,101,Application Data,64,0x2,0x00,87
160,1.813382031,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=150178 Ack=2563 Win=267264 Len=0 TSval=2478393572 TSecr=1158781911,121,0x0,0x00,52
161,1.813382375,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=150178 Ack=2931 Win=267008 Len=0 TSval=2478393572 TSecr=1158781912,121,0x0,0x00,52
162,1.813382398,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=150178 Ack=3111 Win=267008 Len=0 TSval=2478393576 TSecr=1158781914,121,0x0,0x00,52
163,1.813382417,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=150178 Ack=3146 Win=267008 Len=0 TSval=2478393576 TSecr=1158781916,121,0x0,0x00,52
164,1.889576938,142.250.75.110,192.168.1.94,TLSv1.3,673,Application Data,121,0x0,0x00,659
165,1.889577281,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
166,1.889577308,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
167,1.889577329,142.250.75.110,192.168.1.94,TLSv1.3,679,Application Data,121,0x0,0x00,665
168,1.889781738,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=3146 Ack=152185 Win=324096 Len=0 TSval=1158782002 TSecr=2478393656,64,0x2,0x00,52
169,1.889897707,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=3146 Ack=154198 Win=328064 Len=0 TSval=1158782003 TSecr=2478393656,64,0x2,0x00,52
170,1.892219584,142.250.75.110,192.168.1.94,TLSv1.3,98,Application Data,121,0x0,0x00,84
171,1.892220014,142.250.75.110,192.168.1.94,TLSv1.3,97,Application Data,121,0x0,0x00,83
172,1.892220052,142.250.75.110,192.168.1.94,TLSv1.3,105,Application Data,121,0x0,0x00,91
173,1.892460489,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=3146 Ack=154300 Win=328064 Len=0 TSval=1158782005 TSecr=2478393656,64,0x2,0x00,52
174,1.892688928,192.168.1.94,142.250.75.110,TLSv1.3,105,Application Data,64,0x2,0x00,91
175,1.900742794,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=154300 Ack=3185 Win=267008 Len=0 TSval=2478393668 TSecr=1158782005,121,0x0,0x00,52
176,3.152809827,192.168.1.94,142.250.75.110,TLSv1.3,524,Application Data,64,0x2,0x00,510
177,3.155535155,192.168.1.94,142.250.75.110,TLSv1.3,1166,Application Data,64,0x2,0x00,1152
178,3.160527404,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=154300 Ack=3643 Win=266752 Len=0 TSval=2478394926 TSecr=1158783265,121,0x0,0x00,52
179,3.161323161,192.168.1.94,142.250.75.110,TLSv1.3,182,Application Data,64,0x2,0x00,168
180,3.161519437,192.168.1.94,142.250.75.110,TLSv1.3,184,Application Data,64,0x2,0x00,170
181,3.165067866,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=154300 Ack=4743 Win=265728 Len=0 TSval=2478394930 TSecr=1158783268,121,0x0,0x00,52
182,3.170140189,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=154300 Ack=4859 Win=265728 Len=0 TSval=2478394936 TSecr=1158783274,121,0x0,0x00,52
183,3.172599185,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=154300 Ack=4977 Win=265728 Len=0 TSval=2478394938 TSecr=1158783274,121,0x0,0x00,52
184,3.266465093,142.250.75.110,192.168.1.94,TLSv1.3,431,Application Data,121,0x0,0x00,417
185,3.266465325,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
186,3.266629484,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=4977 Ack=156065 Win=333696 Len=0 TSval=1158783379 TSecr=2478395031,64,0x2,0x00,52
187,3.267291805,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
188,3.267291976,142.250.75.110,192.168.1.94,TLSv1.3,2866,"Application Data, Application Data",121,0x0,0x00,2852
189,3.267291997,142.250.75.110,192.168.1.94,TLSv1.3,822,"Application Data, Application Data, Application Data",121,0x0,0x00,808
190,3.268161555,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=4977 Ack=161021 Win=343552 Len=0 TSval=1158783380 TSecr=2478395032,64,0x2,0x00,52
191,3.26990775,192.168.1.94,142.250.75.110,TLSv1.3,105,Application Data,64,0x2,0x00,91
192,3.28167046,142.250.75.110,192.168.1.94,TCP,66,443  >  60366 [ACK] Seq=161021 Ack=5016 Win=265728 Len=0 TSval=2478395044 TSecr=1158783383,121,0x0,0x00,52
193,3.293530639,142.250.75.110,192.168.1.94,TLSv1.3,155,Application Data,121,0x0,0x00,141
194,3.293531306,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
195,3.293531326,142.250.75.110,192.168.1.94,TLSv1.3,1466,Application Data,121,0x0,0x00,1452
196,3.293531348,142.250.75.110,192.168.1.94,TLSv1.3,2866,"Application Data, Application Data",121,0x0,0x00,2852
197,3.293572005,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=5016 Ack=162510 Win=346368 Len=0 TSval=1158783406 TSecr=2478395059,64,0x2,0x00,52
198,3.293676228,192.168.1.94,142.250.75.110,TCP,66,60366  >  443 [ACK] Seq=5016 Ack=166710 Win=354816 Len=0 TSval=1158783406 TSecr=2478395059,64,0x2,0x00,52
199,3.300387232,142.250.75.110,192.168.1.94,TLSv1.3,1560,"Application Data, Application Data",121,0x0,0x00,1546
